Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
LinkedIn,data analyst,Data Analyst,Attijariwafa bank,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-attijariwafa-bank-4181774821?position=1&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=w8ddwserGAGfpxv87818YQ%3D%3D,"python, r, sql, tableau, power bi, excel"
LinkedIn,data analyst,Data Analyst,MAROC FER,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-maroc-fer-4259485132?position=2&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=iJcMieL2IqwpXiJ%2FOx5XYg%3D%3D,"r, git, agile"
LinkedIn,data analyst,Data Analyst,Inetum,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-inetum-4259613497?position=3&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=35GiwSLQ%2FRndmniZP%2BBW4A%3D%3D,"r, git, agile"
LinkedIn,data analyst,Data Analyst,BNP Paribas,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-bnp-paribas-4277210022?position=4&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=l40lulQQ%2BIyW1tg1C3h6Wg%3D%3D,"r, agile"
LinkedIn,data analyst,Data Analyst - Casablanca,VIVADATA,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-casablanca-at-vivadata-4263834506?position=5&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=sGGCOMSEvsree99%2F5W5uYQ%3D%3D,"python, r, sql, aws, azure, google cloud, git, airflow, tableau, machine learning, agile"
LinkedIn,data analyst,IT & Data Analyst INTERN,Smollan,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373?position=7&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=tU3t6Q64zYPslGP49VFmNw%3D%3D,"python, r, excel"
LinkedIn,data analyst,Data Analyst Intern - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-intern-x-delivery-at-boston-consulting-group-bcg-4205211831?position=9&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=L8M3Nr6hS4taURc9aK0VpQ%3D%3D,"python, c#, r, pandas, spark, hadoop, sql, mysql, postgresql, aws, git, tableau, excel, django"
LinkedIn,data analyst,Business / Data Analyst,Cnexia,Maroc,https://ma.linkedin.com/jobs/view/business-data-analyst-at-cnexia-3902960979?position=10&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=Th%2B3bxYiqWE3oR1AFOLiIw%3D%3D,"r, sql, oracle, google cloud, agile, excel"
LinkedIn,data analyst,Data Analyst,CIH BANK,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-cih-bank-3812380359?position=11&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=21ixomUQAfAwQA3JqrGrhw%3D%3D,r
LinkedIn,data analyst,Data Analyst,Expleo Group,"Tanger, Tanger-Tétouan-Al Hoceïma, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-expleo-group-4244912212?position=12&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=RhVMZCZUo9CHHH6R02jdfw%3D%3D,"r, excel"
LinkedIn,data analyst,SENIOR DATA ANALYST – SPÉCIALIST POWER BI,RED TIC,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-analyst-%E2%80%93-sp%C3%A9cialist-power-bi-at-red-tic-4245252466?position=13&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=lwTGR%2FOa7v1xSQu%2FQBl2Ig%3D%3D,"java, r, power bi"
LinkedIn,data analyst,Lead Data Analyst,Saham Bank (Officiel),Casablanca et périphérie,https://ma.linkedin.com/jobs/view/lead-data-analyst-at-saham-bank-officiel-4273862478?position=14&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=K63m9O5GXQsgLMe1j%2Fh4jg%3D%3D,"python, r, sql, git, power bi"
LinkedIn,data analyst,DATA ANALYST ( MISSION 6 MOIS RENOUVELABLE),ManpowerGroup,"Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-mission-6-mois-renouvelable-at-manpowergroup-4267188686?position=16&pageNum=0&refId=tx0iNObOrYfPTvVBppz6%2Fw%3D%3D&trackingId=exsV2CPJJDBfYR7FhlaOLQ%3D%3D,"python, r, sql, tableau, power bi, excel"
