Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
LinkedIn,data engineer,Junior Data Engineer - Casablanca,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/junior-data-engineer-casablanca-at-artefact-3928980947?position=1&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=qv4hKNFIzdNoNhCwk54ukA%3D%3D,"agile, airflow, aws, azure, beam, bigquery, ci/cd, docker, elasticsearch, gcp, google cloud, kubernetes, machine learning, microservices, mysql, postgresql, python, redis, spark, sql"
LinkedIn,data engineer,Data Engineer (H/F),Smile,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-smile-4275097062?position=2&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=KJKvinrjzKogFfmcJCUZ8Q%3D%3D,"airflow, python, snowflake, sql"
LinkedIn,data engineer,Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-artefact-3761574281?position=3&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=n2ZyqMRk4XoEv%2B4cQBPezw%3D%3D,"agile, airflow, aws, azure, beam, bigquery, ci/cd, docker, elasticsearch, gcp, google cloud, kubernetes, machine learning, microservices, mysql, postgresql, python, redis, spark, sql"
LinkedIn,data engineer,DATA ENGINEER (H/F),Groupe INTM,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-groupe-intm-4265986589?position=4&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=QAB2YbJR3RG7nE5ZJHrcxA%3D%3D,"docker, gcp, kafka, kubernetes, looker, python, spark, sql, terraform"
LinkedIn,data engineer,Data engineer,SII Group Morocco,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-at-sii-group-morocco-4263087149?position=5&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=nBBiDcq59ZxJdCwiS4cybg%3D%3D,"airflow, power bi, spark"
LinkedIn,data engineer,Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-artefact-3557745792?position=6&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=1Rfq%2FsvnDvryNKJsmS0bDg%3D%3D,"airflow, aws, bigquery, ci/cd, docker, elasticsearch, gcp, machine learning, microservices, python, spark, sql"
LinkedIn,data engineer,Data engineer,Alter Solutions Group,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-alter-solutions-group-4242852623?position=7&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=miPQyB3MhFvupZB1gtdpmA%3D%3D,"airflow, aws, azure, bigquery, ci/cd, docker, etl, flink, gcp, git, java, kafka, kubernetes, looker, nosql, power bi, python, react, snowflake, spark, sql, tableau"
LinkedIn,data engineer,AD Software Engineer - Junior H/F,Stellantis,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/ad-software-engineer-junior-h-f-at-stellantis-3543048045?position=8&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=DiXwZl8W6jyYFME3vl75lw%3D%3D,"c++, git, github, linux, python"
LinkedIn,data engineer,Data Analyst,Attijariwafa bank,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-attijariwafa-bank-4181774821?position=9&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=3PqfwMWdCuEkptF4%2BBloQA%3D%3D,"power bi, python, sql, tableau"
LinkedIn,data engineer,Data Engineer,Intelcia IT Solutions,"Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-at-intelcia-it-solutions-4280143999?position=10&pageNum=0&refId=NgPHrYUoigQGz9FPOuCpLQ%3D%3D&trackingId=lKDxD7ZvJrUwmzCqqwujuA%3D%3D,"bigquery, oracle, python, sql"
LinkedIn,data engineer,IT & Data Analyst INTERN,Smollan,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/it-data-analyst-intern-at-smollan-3989957373?position=1&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=%2FkXOVyqM%2BNc0AkzeaO32DA%3D%3D,"excel, python"
LinkedIn,data engineer,Data Engineer Confirmé – Écosystème Microsoft Fabric,MAROC FER,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-maroc-fer-4267073871?position=2&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=R0T39zE%2FxPgKZl1IKnzyLA%3D%3D,"power bi, python, spark, sql"
LinkedIn,data engineer,Data Engineer Spark/Scala Senior (Maroc ) H/F,LINCOLN,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/data-engineer-spark-scala-senior-maroc-h-f-at-lincoln-france-4128099064?position=3&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=IbpQhJInYJEDYBYRQ4MWBg%3D%3D,"bigquery, ci/cd, gcp, git, gitlab, java, kafka, kubernetes, microservices, scrum, spark"
LinkedIn,data engineer,Multi-Platform Systems & Database Engineer,DXC Technology Morocco,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/multi-platform-systems-database-engineer-at-dxc-technology-morocco-4275970753?position=4&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=LFESuhopZny5qiYdAxMQ5A%3D%3D,"azure, bash, ci/cd, docker, linux, microservices, mongodb, nosql, postgresql, python, sql"
LinkedIn,data engineer,Design System Engineer,Stellantis,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/design-system-engineer-at-stellantis-4261976621?position=5&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=PbHTknnZ6Lj%2FoTBvwdR3%2FA%3D%3D,excel
LinkedIn,data engineer,Senior Data Engineer,HCLTech,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/senior-data-engineer-at-hcltech-4273201359?position=6&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=S2qWKrhO7BtjCkWlvTzB7w%3D%3D,"azure, c#, ci/cd, machine learning, nosql, power bi, python, spark, sql, terraform"
LinkedIn,data engineer,Data Analyst,Inetum,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-at-inetum-4259613497?position=7&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=P4q78g%2Bcqea2tcWA%2BH9ziA%3D%3D,agile
LinkedIn,data engineer,Senior Data Engineer,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-engineer-at-artefact-4104827039?position=8&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=%2BAw3yHMshSQf%2FUJ5aBkNQA%3D%3D,"airflow, aws, beam, bigquery, ci/cd, docker, elasticsearch, gcp, machine learning, microservices, mysql, postgresql, python, spark, sql"
LinkedIn,data engineer,Lead Data Engineer,Stellantis Middle East & Africa,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/lead-data-engineer-at-stellantis-middle-east-africa-4277392963?position=9&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=ANYY0O8QgGlU%2FoyUw%2BNohg%3D%3D,"agile, azure, data pipeline, etl, java, power bi, python, r, snowflake, spark, sql"
LinkedIn,data engineer,Data Engineer - Databricks,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-databricks-at-lumenalta-4279524853?position=10&pageNum=2&refId=igwrY4iAt5QXr0eWJ%2Bl9OA%3D%3D&trackingId=iI4C0QDm%2FBxPS4%2FraKekuA%3D%3D,"aws, python, sql"
LinkedIn,data engineer,Data engineer -Apache NIFI,Devoteam,"cercle de El Borouj, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-apache-nifi-at-devoteam-3628571106?position=1&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=paayJvTBhWmprOCOd3OK3A%3D%3D,"agile, aws, azure, bitbucket, etl, gcp, java, kafka, sql"
LinkedIn,data engineer,Network & System Engineer (Permanent),ProductLife Group,"Méchouar de Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/network-system-engineer-permanent-at-productlife-group-4267896356?position=2&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=Q4jtE6tirhHIDcjQiBlgcA%3D%3D,linux
LinkedIn,data engineer,Software Engineer Analyst,AXONE,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/software-engineer-analyst-at-axone-4277595087?position=3&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=uGfnb9x7FVstcklfXHNeiA%3D%3D,
LinkedIn,data engineer,Data Analyst - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-x-delivery-at-boston-consulting-group-bcg-4205214414?position=4&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=g%2FHFuLEErdZvwdtCHj0bqQ%3D%3D,"angular, c#, dash, django, excel, flask, github, hadoop, mysql, pandas, postgresql, python, r, react, spark, sql, tableau"
LinkedIn,data engineer,Data Engineer Sénior,ALTEN,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-s%C3%A9nior-at-alten-4279290193?position=5&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=0fVfBflSZOW3xJyGvZ4Wsg%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum"
LinkedIn,data engineer,Cloud Data Engineer SQL GCP,Devoteam,"Beni Mellal, Béni Mellal-Khénifra, Maroc",https://ma.linkedin.com/jobs/view/cloud-data-engineer-sql-gcp-at-devoteam-4231964131?position=6&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=UiS46ini%2BhvYbIc2YZ4EMA%3D%3D,"airflow, aws, azure, bigquery, ci/cd, dbt, gcp, snowflake, sql"
LinkedIn,data engineer,Software Engineer,Flourish Health,"Sahara occidental, Maroc",https://ma.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264209822?position=7&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=2GXp2sMtVI31M54U03FKow%3D%3D,react
LinkedIn,data engineer,Senior Python Fullstack Engineer,Intetics,Maroc,https://ma.linkedin.com/jobs/view/senior-python-fullstack-engineer-at-intetics-4281922437?position=8&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=cTR5EITen7Tp10SmKVwXlA%3D%3D,"django, linux, mysql, python, react, snowflake, typescript"
LinkedIn,data engineer,Expert Data analyst,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-analyst-at-brome-consulting-technology-4200182778?position=9&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=rK1vZvfxB9R4rTOc5q%2Bo4Q%3D%3D,"matplotlib, power bi, seaborn, tableau"
